open,close,dir,entry,sl,tp,exit,r,reason,hold_h,level,sigma,lambda,smc
2024-03-13 20:00,2024-03-14 16:15,buy,2174.78,2158.13,2210.50,2158.13,-1.000,sl,19.5,3,0.00680,0.000,zone*
2024-05-15 20:00,2024-05-20 04:00,buy,2383.78,2358.00,2429.88,2429.88,1.788,tp,53.2,3,0.00854,0.000,zone*
2024-06-20 20:00,2024-06-21 18:15,buy,2356.64,2327.98,2405.14,2327.98,-1.000,sl,21.5,3,0.00928,0.000,zone
2024-09-05 16:00,2024-09-06 19:15,buy,2517.88,2495.44,2569.64,2495.44,-1.000,sl,26.5,3,0.00833,0.000,zone*
2024-09-20 12:00,2024-09-24 22:15,buy,2609.94,2586.61,2659.58,2659.58,2.128,tp,56.5,3,0.00790,0.000,zone*
2025-01-07 16:00,2025-01-16 15:45,buy,2662.70,2635.77,2716.20,2716.20,1.986,tp,161.0,3,0.00855,0.000,zone*
2025-01-24 08:00,2025-01-27 04:15,buy,2775.52,2754.52,2816.58,2754.52,-1.000,sl,19.5,3,0.00596,0.006,zone*
2025-02-11 04:00,2025-02-11 04:30,buy,2934.20,2907.88,2979.39,2907.88,-1.000,sl,0.8,3,0.00689,0.000,zone
2025-03-04 16:00,2025-03-06 11:45,buy,2922.84,2892.99,2978.41,2892.99,-1.000,sl,42.0,3,0.00827,0.000,zone
2025-03-11 16:00,2025-03-13 17:15,buy,2917.78,2889.24,2974.09,2974.09,1.973,tp,47.5,3,0.00823,0.000,zone
2025-03-31 08:00,2025-04-03 15:15,buy,3113.58,3084.20,3168.42,3084.20,-1.000,sl,76.5,3,0.00765,0.000,zone
2025-04-21 08:00,2025-04-22 06:30,buy,3376.55,3327.24,3493.00,3493.00,2.362,tp,21.8,3,0.01396,0.000,zone*
2025-04-25 01:00,2025-04-25 08:45,buy,3348.83,3288.12,3469.91,3288.12,-1.000,sl,8.0,3,0.01549,0.000,zone*
2025-08-27 01:00,2025-08-29 22:45,buy,3393.21,3365.73,3453.02,3453.02,2.177,tp,68.0,3,0.00726,0.000,zone*
2025-09-01 08:00,2025-09-02 21:30,buy,3475.32,3448.16,3531.60,3531.60,2.072,tp,34.2,3,0.00678,0.000,zone
2025-09-05 16:00,2025-09-09 05:00,buy,3580.49,3545.39,3647.54,3647.54,1.910,tp,35.2,3,0.00807,0.000,zone*
2025-11-28 20:00,2025-12-12 15:30,buy,4216.94,4156.73,4343.81,4343.81,2.107,tp,223.5,3,0.01261,0.000,zone*
2025-12-22 08:00,2025-12-23 04:30,buy,4400.46,4338.63,4495.73,4495.73,1.541,tp,19.8,3,0.01014,0.000,zone*
2025-12-29 01:00,2025-12-29 02:30,buy,4531.42,4479.22,4640.73,4479.22,-1.000,sl,1.8,3,0.01010,0.000,zone*
