open,close,dir,entry,sl,tp,exit,r,why,hold_h
2016-09-23 16:30,2016-09-26 05:15,buy,1338.35,1335.38,1344.28,1335.38,-1.000,sl,11.75
2016-09-26 09:45,2016-09-26 11:45,buy,1335.53,1334.03,1338.53,1334.03,-1.000,sl,2.00
2016-09-26 15:45,2016-09-26 21:30,buy,1339.03,1336.80,1343.48,1336.80,-1.000,sl,5.75
2016-09-27 01:00,2016-09-27 02:45,buy,1338.44,1336.77,1341.79,1336.77,-1.000,sl,1.75
2016-09-27 12:45,2016-09-27 15:00,buy,1337.04,1334.59,1341.93,1334.59,-1.000,sl,2.25
2016-10-05 09:00,2016-10-05 15:15,sell,1272.63,1274.74,1268.40,1274.74,-1.000,sl,6.25
2016-10-05 15:45,2016-10-05 19:00,sell,1272.24,1275.66,1265.39,1265.39,2.000,tp,3.25
2016-10-05 22:30,2016-10-06 15:30,sell,1266.86,1270.25,1260.09,1260.09,2.000,tp,16.00
2016-10-06 15:30,2016-10-06 16:15,sell,1259.77,1262.92,1253.47,1253.47,2.000,tp,0.75
2016-10-06 21:45,2016-10-06 22:45,sell,1250.55,1254.22,1243.20,1254.22,-1.000,sl,1.00
2016-10-07 06:00,2016-10-07 13:45,sell,1255.29,1258.03,1249.82,1258.03,-1.000,sl,7.75
2016-10-07 17:00,2016-10-10 04:00,sell,1255.52,1262.74,1241.08,1262.74,-1.000,sl,10.00
2016-10-10 14:45,2016-10-10 15:00,sell,1259.33,1260.88,1256.24,1260.88,-1.000,sl,0.25
2016-10-10 22:15,2016-10-11 09:15,sell,1258.21,1260.09,1254.44,1260.09,-1.000,sl,10.00
2016-10-11 11:00,2016-10-11 23:30,sell,1257.30,1259.93,1252.03,1252.03,2.000,tp,12.50
2016-10-11 23:30,2016-10-12 01:15,sell,1252.34,1254.54,1247.94,1254.54,-1.000,sl,0.75
2016-10-12 08:30,2016-10-12 11:00,sell,1255.25,1256.48,1252.79,1256.48,-1.000,sl,2.50
2016-10-12 14:45,2016-10-12 16:00,sell,1253.05,1254.74,1249.67,1254.74,-1.000,sl,1.25
2016-10-13 02:30,2016-10-13 04:45,sell,1254.07,1256.14,1249.92,1256.14,-1.000,sl,2.25
2016-10-14 10:15,2016-10-14 11:45,sell,1255.01,1256.65,1251.73,1256.65,-1.000,sl,1.50
2016-10-14 16:15,2016-10-14 17:00,sell,1250.90,1255.05,1242.61,1255.05,-1.000,sl,0.75
2016-10-14 22:15,2016-10-17 08:00,sell,1251.33,1254.92,1244.15,1254.92,-1.000,sl,8.75
2016-10-17 10:30,2016-10-17 14:15,sell,1252.83,1254.40,1249.70,1254.40,-1.000,sl,3.75
2016-11-10 21:00,2016-11-11 16:30,sell,1264.56,1271.94,1249.80,1249.80,2.000,tp,18.50
2016-11-11 16:30,2016-11-11 16:45,sell,1248.24,1254.43,1235.87,1235.87,2.000,tp,0.25
2016-11-14 02:15,2016-11-14 03:00,sell,1226.72,1231.50,1217.15,1217.15,2.000,tp,0.75
2016-11-14 10:00,2016-11-14 11:15,sell,1217.10,1223.49,1204.31,1223.49,-1.000,sl,1.25
2016-11-14 16:00,2016-11-14 19:30,sell,1218.19,1224.91,1204.75,1224.91,-1.000,sl,3.50
2016-11-14 22:45,2016-11-15 01:30,sell,1217.62,1223.70,1205.46,1223.70,-1.000,sl,1.75
2016-11-15 06:15,2016-11-15 09:00,sell,1224.78,1228.11,1218.11,1228.11,-1.000,sl,2.75
2016-11-15 12:15,2016-11-16 03:00,sell,1224.43,1229.65,1214.00,1229.65,-1.000,sl,13.75
2016-11-16 06:45,2016-11-16 13:45,sell,1229.21,1231.96,1223.72,1223.72,2.000,tp,7.00
2016-11-16 13:45,2016-11-16 14:30,sell,1222.80,1225.80,1216.80,1225.80,-1.000,sl,0.75
2016-11-16 19:45,2016-11-17 12:30,sell,1226.08,1230.07,1218.11,1230.07,-1.000,sl,15.75
2016-11-17 18:15,2016-11-17 20:30,sell,1226.44,1231.59,1216.14,1216.14,2.000,tp,2.25
2016-11-18 01:30,2016-11-18 03:30,sell,1215.62,1219.46,1207.94,1207.94,2.000,tp,2.00
2016-11-18 09:15,2016-11-18 09:30,sell,1207.95,1210.46,1202.94,1202.94,2.000,tp,0.25
2016-11-18 17:00,2016-11-21 09:30,sell,1209.50,1215.46,1197.59,1215.46,-1.000,sl,15.50
2016-11-21 16:00,2016-11-21 16:45,sell,1212.75,1215.67,1206.91,1215.67,-1.000,sl,0.75
2016-11-22 20:15,2016-11-23 15:15,sell,1211.42,1215.44,1203.37,1203.37,2.000,tp,18.00
2016-11-23 15:15,2016-11-23 15:30,sell,1202.51,1206.20,1195.14,1195.14,2.000,tp,0.25
2016-11-23 21:45,2016-11-25 03:00,sell,1186.70,1191.24,1177.62,1177.62,2.000,tp,23.25
2016-11-25 03:00,2016-11-25 07:15,sell,1173.97,1178.50,1164.92,1178.50,-1.000,sl,4.25
2016-11-25 14:45,2016-11-25 19:15,sell,1186.88,1190.95,1178.74,1178.74,2.000,tp,4.50
2016-11-28 13:30,2016-11-28 21:30,sell,1188.71,1192.70,1180.72,1192.70,-1.000,sl,8.00
2016-11-29 13:15,2016-11-29 15:30,sell,1187.62,1190.73,1181.41,1181.41,2.000,tp,2.25
2016-11-29 23:30,2016-11-30 01:15,sell,1187.95,1190.16,1183.54,1190.16,-1.000,sl,0.75
2016-11-30 09:45,2016-11-30 14:15,sell,1188.47,1191.12,1183.18,1183.18,2.000,tp,4.50
2016-11-30 16:00,2016-11-30 18:15,sell,1180.57,1185.50,1170.70,1170.70,2.000,tp,2.25
2016-11-30 22:00,2016-12-01 03:15,sell,1172.81,1176.55,1165.33,1165.33,2.000,tp,4.25
2016-12-01 06:30,2016-12-01 07:00,sell,1169.70,1173.97,1161.15,1173.97,-1.000,sl,0.50
2016-12-01 12:45,2016-12-01 15:45,sell,1166.63,1170.90,1158.10,1170.90,-1.000,sl,3.00
